i,type,avg_length,avg_reward,avg_vc,avg_js_dist
0,wrl,8.395,-15.79,0.375,[0.51894461]
0,wrl,10.575,-30.025,0.68,[0.70147371]
0,wrl,8.445,-17.37,0.405,[0.22393238]
0,wrl,4.63,-0.53,0.14,[0.42661714]
0,wrl,5.66,-1.52,0.14,[0.32885333]
0,wrl,4.65,-5.195,0.235,[0.32006114]
0,wrl,6.78,-4.145,0.17,[0.4869125]
0,wrl,5.6,-3.91,0.27,[0.29872374]
0,wrl,4.64,-5.895,0.31,[0.28015889]
0,wrl,9.305,-12.27,0.285,[0.28456626]
0,wrl,6.765,-5.565,0.245,[0.47153772]
0,wrl,8.175,-6.73,0.195,[0.28019991]
0,wrl,5.63,-0.025,0.11,[0.3005631]
0,wrl,4.7,-3.275,0.195,[0.32033606]
0,wrl,11.325,-21.64,0.435,[0.41823103]
0,wrl,3.455,-5.44,0.265,[0.35021612]
0,wrl,8.875,-79.72,1.67,[0.54930365]
0,wrl,11.125,-22.175,0.45,[0.45249444]
0,wrl,7.525,-135.505,2.83,[0.30426591]
0,wrl,4.67,-5.19,0.235,[0.24034129]
0,wrl,16.11,-13.2,0.165,[0.31688805]
0,wrl,8.99,-8.28,0.21,[0.43000183]
0,wrl,10.27,-15.685,0.335,[0.43613783]
0,wrl,7.93,-4.525,0.175,[0.23585254]
0,wrl,10.05,-94.515,1.945,[0.35447408]
0,wrl,3.655,2.935,0.09,[0.2208634]
0,wrl,5.685,-4.485,0.2,[0.39259384]
0,wrl,6.895,-9.86,0.3,[0.29227816]
0,wrl,8.205,-10.205,0.265,[0.35877372]
0,wrl,3.69,-4.21,0.235,[0.3825344]
0,wrl,10.82,-69.975,1.43,[0.38504123]
0,wrl,5.69,0.165,0.105,[0.34130565]
0,wrl,4.64,-1.505,0.16,[0.41068677]
0,wrl,4.63,-3.195,0.195,[0.2995145]
0,wrl,5.88,-14.005,0.39,[0.37791397]
0,wrl,10.555,-7.4,0.16,[0.34020619]
0,wrl,13.885,-24.94,0.45,[0.34825395]
0,wrl,10.1,-15.025,0.325,[0.44610065]
0,wrl,7.565,-14.695,0.405,[0.30862779]
0,wrl,4.72,-0.345,0.135,[0.45795618]
0,wrl,4.715,-4.985,0.23,[0.21291987]
0,wrl,16.71,-23.35,0.37,[0.36339461]
0,wrl,4.45,-1.31,0.16,[0.15434786]
0,wrl,9.425,-14.625,0.33,[0.31120331]
0,wrl,5.7,-9.4,0.3,[0.25705136]
0,wrl,6.965,-5.765,0.2,[0.3086914]
0,wrl,5.89,-11.55,0.34,[0.27930676]
0,wrl,3.565,1.545,0.12,[0.22241914]
0,wrl,6.975,-58.9,1.265,[0.34979716]
0,wrl,10.475,-8.055,0.19,[0.34025324]
0,wrl,4.65,1.695,0.095,[0.32550151]
0,wrl,7.22,-12.64,0.335,[0.43321589]
0,wrl,3.42,-1.56,0.185,[0.20339915]
0,wrl,12.65,-18.56,0.345,[0.27953693]
0,wrl,6.875,-8.41,0.255,[0.25418224]
0,wrl,7.025,-1.17,0.125,[0.48773192]
0,wrl,6.055,-7.06,0.245,[0.30443972]
0,wrl,3.56,-3.37,0.22,[0.20319924]
0,wrl,7.345,-3.94,0.155,[0.32839788]
0,wrl,5.395,-3.705,0.19,[0.31354603]
0,wrl,20.9,-25.58,0.35,[0.31888016]
0,wrl,7.89,-10.86,0.285,[0.34699536]
0,wrl,11.725,-13.475,0.26,[0.38816553]
0,wrl,4.74,-6.0,0.25,[0.45538994]
0,wrl,3.35,5.935,0.035,[0.41694627]
0,wrl,9.23,-17.625,0.395,[0.25660432]
0,wrl,4.72,-3.52,0.2,[0.20122882]
0,wrl,10.465,-20.535,0.43,[0.19328012]
0,wrl,11.105,-14.08,0.285,[0.4427605]
0,wrl,4.655,-7.15,0.275,[0.21535935]
0,wrl,3.45,5.085,0.05,[0.32924521]
0,wrl,3.38,-4.875,0.255,[0.32055597]
0,wrl,8.23,-3.36,0.125,[0.36999114]
0,wrl,7.39,-11.59,0.31,[0.36529778]
0,wrl,8.665,-6.975,0.19,[0.38687617]
0,wrl,3.355,1.515,0.125,[0.22655494]
0,wrl,13.725,-17.915,0.315,[0.30765018]
0,wrl,7.225,-6.515,0.21,[0.28634564]
0,wrl,14.98,-16.475,0.275,[0.33508906]
0,wrl,4.68,-8.895,0.33,[0.20679523]
0,wrl,5.67,-8.955,0.29,[0.37561994]
0,wrl,7.225,-0.88,0.095,[0.20825752]
0,wrl,5.855,-1.73,0.14,[0.27249303]
0,wrl,15.865,-23.995,0.405,[0.24813086]
0,wrl,4.645,-1.25,0.155,[0.39009052]
0,wrl,7.09,-55.16,1.185,[0.17807591]
0,wrl,5.785,-168.67,3.535,[0.51818627]
0,wrl,7.955,-3.325,0.13,[0.2827846]
0,wrl,4.645,-8.345,0.3,[0.43862289]
0,wrl,7.17,-9.65,0.275,[0.28414761]
0,wrl,4.595,-3.66,0.205,[0.31645821]
0,wrl,5.65,-3.965,0.19,[0.30671957]
